,Unnamed: 0,artist,title,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,top year,hip_hop,other,pop,rap,rock,group,solo
0,0,3OH!3,STARSTRUKK (feat. Katy Perry),140,81,61,-6,23,23,203,0,6,70,2010,0,0,1,0,0,1,0
1,1,3OH!3,My First Kiss (feat. Ke$ha),138,89,68,-4,36,83,192,1,8,68,2010,0,0,1,0,0,1,0
2,2,Aloe Blacc,I Need A Dollar,95,48,84,-7,9,96,243,20,3,72,2010,0,0,1,0,0,0,1
3,3,B.o.B,Airplanes (feat. Hayley Williams of Paramore),93,87,66,-4,4,38,180,11,12,80,2010,1,0,0,0,0,0,1
4,4,B.o.B,Nothin' on You (feat. Bruno Mars),104,85,69,-6,9,74,268,39,5,79,2010,1,0,0,0,0,0,1
5,5,B.o.B,Magic (feat. Rivers Cuomo),82,93,55,-4,35,79,196,1,34,71,2010,1,0,0,0,0,0,1
6,6,Black Eyed Peas,The Time (Dirty Bit),128,81,82,-8,60,44,308,7,7,75,2010,0,0,1,0,0,1,0
7,7,Black Eyed Peas,Imma Be,92,52,60,-7,31,41,258,18,37,71,2010,0,0,1,0,0,1,0
8,9,Bruno Mars,Just the Way You Are,109,84,64,-5,6,42,221,1,4,86,2010,0,0,1,0,0,0,1
9,10,Cali Swag District,Teach Me How to Dougie,85,44,85,-5,9,51,237,20,14,71,2010,0,0,0,1,0,1,0
10,11,CeeLo Green,Forget You,127,88,70,-4,16,77,223,13,6,69,2010,1,0,0,0,0,0,1
11,12,Chris Brown,Deuces (feat. Tyga & Kevin McCall),74,74,69,-5,8,22,277,3,11,74,2010,0,0,1,0,0,0,1
12,13,David Guetta,Memories (feat. Kid Cudi),130,87,56,-6,25,50,210,0,34,74,2010,0,1,0,0,0,0,1
13,14,David Guetta,Gettin' Over You (feat. Fergie & LMFAO),130,91,62,-5,8,45,188,18,8,55,2010,0,1,0,0,0,0,1
14,15,DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",150,78,54,-4,16,28,233,1,19,55,2010,0,0,1,0,0,0,1
15,16,Drake,Over,100,85,35,-6,12,45,234,1,20,72,2010,1,0,0,0,0,0,1
16,17,Drake,Find Your Love,96,61,63,-6,3,76,209,2,17,70,2010,1,0,0,0,0,0,1
17,18,Duck Sauce,Barbra Streisand (Radio Edit),128,93,76,-2,22,46,195,0,10,61,2010,0,1,0,0,0,1,0
18,19,Edward Maya,Stereo Love - Radio Edit,127,78,80,-4,8,59,185,3,3,71,2010,0,1,0,0,0,0,1
19,21,Ellie Goulding,Starry Eyed,150,81,50,-5,32,60,177,14,4,59,2010,0,0,1,0,0,0,1
20,22,Eminem,Love The Way You Lie,87,93,75,-5,52,64,263,24,23,87,2010,1,0,0,0,0,0,1
21,23,Eminem,Not Afraid,115,95,86,-1,21,67,248,53,26,85,2010,1,0,0,0,0,0,1
22,24,Enrique Iglesias,I Like It,129,94,65,-3,7,70,232,2,8,71,2010,0,0,1,0,0,0,1
23,25,Example,Kickstarts,126,84,61,-4,36,66,182,0,6,69,2010,0,0,1,0,0,0,1
24,26,Far East Movement,Like A G6,125,84,44,-8,12,78,217,1,45,75,2010,1,0,0,0,0,1,0
25,27,Flo Rida,Club Can't Handle Me (feat. David Guetta),128,87,62,-4,6,47,235,3,3,81,2010,0,0,1,0,0,0,1
26,29,Iyaz,Replay,91,75,71,-6,17,20,182,17,7,78,2010,0,0,1,0,0,0,1
27,30,Jason Derulo,Whatcha Say,144,71,62,-6,14,71,221,4,8,72,2010,0,0,1,0,0,0,1
28,31,Jason Derulo,Ridin' Solo,89,83,44,-4,13,58,216,13,15,70,2010,0,0,1,0,0,0,1
29,32,Jason Derulo,In My Head,110,75,76,-4,35,85,199,3,3,67,2010,0,0,1,0,0,0,1
30,33,Jay Sean,Down,132,68,73,-4,8,73,213,1,3,83,2010,0,0,1,0,0,0,1
31,34,Jay Sean,Do You Remember,126,67,85,-5,10,82,211,2,7,74,2010,0,0,1,0,0,0,1
32,35,JAY-Z,Young Forever,140,69,64,-3,21,10,254,42,7,71,2010,1,0,0,0,0,0,1
33,36,John Mayer,Heartbreak Warfare,97,55,62,-8,30,31,270,19,2,69,2010,0,1,0,0,0,0,1
34,37,John Mayer,Half of My Heart,115,59,68,-9,11,73,250,44,3,68,2010,0,1,0,0,0,0,1
35,38,Justin Bieber,Baby,65,86,73,-5,11,54,214,4,14,86,2010,0,0,1,0,0,0,1
36,39,Katy Perry,California Gurls,125,75,79,-4,16,43,235,0,6,78,2010,0,0,1,0,0,0,1
37,40,Katy Perry,Teenage Dream,120,80,72,-5,13,59,228,2,4,76,2010,0,0,1,0,0,0,1
38,41,Kelly Rowland,Commander,125,88,40,-4,36,57,218,2,14,54,2010,1,0,0,0,0,0,1
39,42,Kesha,TiK ToK,120,84,76,-3,29,71,200,10,14,86,2010,0,0,1,0,0,0,1
40,43,Kesha,Your Love Is My Drug,120,61,83,-4,9,76,187,1,10,75,2010,0,0,1,0,0,0,1
41,44,Kesha,Take It Off,125,68,73,-5,9,74,215,0,3,74,2010,0,0,1,0,0,0,1
42,45,Kesha,Blah Blah Blah (feat. 3OH!3),120,84,75,-3,42,52,172,8,12,67,2010,0,0,1,0,0,0,1
43,46,K'NAAN,Wavin' Flag,76,70,63,-6,24,72,221,13,7,63,2010,0,1,0,0,0,0,1
44,47,Kris Allen,Live Like We're Dying,92,89,59,-3,34,94,213,3,4,57,2010,0,1,0,0,0,0,1
45,48,Lady Gaga,Bad Romance,119,92,70,-4,8,71,295,0,4,86,2010,0,0,1,0,0,0,1
46,49,Lady Gaga,Telephone,122,84,82,-6,11,72,221,1,4,75,2010,0,0,1,0,0,0,1
47,50,Lady Gaga,Alejandro,99,79,62,-7,38,36,274,0,5,72,2010,0,0,1,0,0,0,1
48,51,Lil Wayne,Right Above It,76,84,38,-4,58,46,272,4,36,74,2010,1,0,0,0,0,0,1
49,52,Ludacris,My Chick Bad,85,72,62,-7,48,76,217,17,38,73,2010,1,0,0,0,0,0,1
